#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM    Stats: 3.439710e+12 (median) + 1.830880e+12  / - 8.558899e+11
#SM    Stats: 5.169490e+10 (median) + 4.481480e+10  / - 2.739340e+10
#ObsSM Stats: 4.893400e+10 (median) + 5.927200e+10  / - 2.889250e+10
#VMP   Stats: 3.193500e+02 (median) + 4.794998e+01  / - 2.785001e+01
#ICL   Stats: 6.708960e+08 (median) + 1.522634e+09  / - 4.614130e+08
#SSFR  Stats: 1.001824e-11 (median) + 2.941932e-09  / - 8.252584e-12
sm_mp 0.075873 0 1.57377e+06 0 #avg: 3.8781e+06; avg_err: 147810; sd: 1.67417e+07; counts: 12830
sm_mp 0.078123 0 3.71292e+06 0 #avg: 5.97884e+06; avg_err: 217642; sd: 2.46513e+07; counts: 12830
sm_mp 0.080373 0 7.23918e+06 0 #avg: 8.62792e+06; avg_err: 299185; sd: 3.38873e+07; counts: 12830
sm_mp 0.082623 0 1.17684e+07 0 #avg: 1.17392e+07; avg_err: 388430; sd: 4.39956e+07; counts: 12830
sm_mp 0.085998 232606 2.18737e+07 232606 #avg: 1.78642e+07; avg_err: 552176; sd: 6.25424e+07; counts: 12830
sm_mp 0.089373 1.15979e+06 3.41435e+07 1.15979e+06 #avg: 2.6241e+07; avg_err: 769155; sd: 8.71185e+07; counts: 12830
sm_mp 0.092748 3.21515e+06 4.8497e+07 3.21515e+06 #avg: 3.68505e+07; avg_err: 1.02192e+06; sd: 1.15747e+08; counts: 12830
sm_mp 0.096123 6.59201e+06 6.53174e+07 6.59201e+06 #avg: 5.00249e+07; avg_err: 1.29725e+06; sd: 1.46933e+08; counts: 12830
sm_mp 0.099498 1.11702e+07 8.80348e+07 1.11702e+07 #avg: 6.69589e+07; avg_err: 1.63737e+06; sd: 1.85457e+08; counts: 12830
sm_mp 0.102873 1.73126e+07 1.16314e+08 1.71623e+07 #avg: 8.85831e+07; avg_err: 2.07278e+06; sd: 2.34774e+08; counts: 12830
sm_mp 0.106248 2.5459e+07 1.52672e+08 2.47554e+07 #avg: 1.15758e+08; avg_err: 2.65557e+06; sd: 3.00784e+08; counts: 12830
sm_mp 0.109623 3.54559e+07 1.92948e+08 3.36238e+07 #avg: 1.49e+08; avg_err: 3.40665e+06; sd: 3.85855e+08; counts: 12830
sm_mp 0.112998 4.81125e+07 2.43999e+08 4.4596e+07 #avg: 1.88193e+08; avg_err: 4.24266e+06; sd: 4.80546e+08; counts: 12830
sm_mp 0.116373 6.3212e+07 3.00464e+08 5.72618e+07 #avg: 2.33655e+08; avg_err: 5.12749e+06; sd: 5.80766e+08; counts: 12830
sm_mp 0.119748 8.20412e+07 3.71854e+08 7.28561e+07 #avg: 2.87431e+08; avg_err: 6.09904e+06; sd: 6.90809e+08; counts: 12830
sm_mp 0.123123 1.05003e+08 4.51682e+08 9.17862e+07 #avg: 3.51486e+08; avg_err: 7.26767e+06; sd: 8.23174e+08; counts: 12830
sm_mp 0.126498 1.31336e+08 5.40366e+08 1.13318e+08 #avg: 4.26281e+08; avg_err: 8.65979e+06; sd: 9.80852e+08; counts: 12830
sm_mp 0.129873 1.6413e+08 6.51988e+08 1.40555e+08 #avg: 5.12457e+08; avg_err: 1.02002e+07; sd: 1.15533e+09; counts: 12830
sm_mp 0.133248 2.01337e+08 7.82377e+08 1.70557e+08 #avg: 6.09479e+08; avg_err: 1.18246e+07; sd: 1.33931e+09; counts: 12830
sm_mp 0.136623 2.45616e+08 9.11464e+08 2.06245e+08 #avg: 7.18281e+08; avg_err: 1.35398e+07; sd: 1.53359e+09; counts: 12830
sm_mp 0.141685 3.21801e+08 1.15296e+09 2.66027e+08 #avg: 9.07798e+08; avg_err: 1.64016e+07; sd: 1.85773e+09; counts: 12830
sm_mp 0.146748 4.2218e+08 1.43723e+09 3.44206e+08 #avg: 1.13617e+09; avg_err: 1.97312e+07; sd: 2.23486e+09; counts: 12830
sm_mp 0.15181 5.42062e+08 1.80276e+09 4.37438e+08 #avg: 1.41016e+09; avg_err: 2.37316e+07; sd: 2.68797e+09; counts: 12830
sm_mp 0.156873 6.86297e+08 2.22142e+09 5.49444e+08 #avg: 1.73229e+09; avg_err: 2.82594e+07; sd: 3.20081e+09; counts: 12830
sm_mp 0.161935 8.56061e+08 2.66126e+09 6.82564e+08 #avg: 2.10365e+09; avg_err: 3.32706e+07; sd: 3.7684e+09; counts: 12830
sm_mp 0.166998 1.0633e+09 3.26441e+09 8.37907e+08 #avg: 2.53213e+09; avg_err: 3.876e+07; sd: 4.39016e+09; counts: 12830
sm_mp 0.17206 1.30337e+09 3.97572e+09 1.02181e+09 #avg: 3.02852e+09; avg_err: 4.49625e+07; sd: 5.09269e+09; counts: 12830
sm_mp 0.177123 1.58155e+09 4.67594e+09 1.2311e+09 #avg: 3.60173e+09; avg_err: 5.18319e+07; sd: 5.87075e+09; counts: 12830
