#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 8.529410e+12 (median) + 4.580889e+12  / - 2.225000e+12
#SM    Stats: 7.630920e+10 (median) + 5.419680e+10  / - 3.643740e+10
#ObsSM Stats: 7.410340e+10 (median) + 6.324260e+10  / - 3.828660e+10
#VMP   Stats: 3.699100e+02 (median) + 5.604999e+01  / - 3.897000e+01
#ICL   Stats: 2.943150e+09 (median) + 9.104750e+09  / - 2.058597e+09
#SSFR  Stats: 2.325970e-12 (median) + 3.824331e-12  / - 1.472288e-12
iclh 0.328997 0.542601 3.08613 0.443568 #avg: 3.62328; avg_err: 0.138487; sd: 13.4468; counts: 9429
iclh 0.33406 0.510077 2.95101 0.418356 #avg: 3.50407; avg_err: 0.13113; sd: 12.7325; counts: 9429
iclh 0.339122 0.483366 2.94334 0.399119 #avg: 3.4384; avg_err: 0.129267; sd: 12.5515; counts: 9429
iclh 0.344185 0.453588 2.89108 0.375957 #avg: 3.30752; avg_err: 0.123544; sd: 11.9958; counts: 9429
iclh 0.349247 0.420671 2.81954 0.349883 #avg: 3.20531; avg_err: 0.117865; sd: 11.4445; counts: 9429
iclh 0.35431 0.390303 2.6531 0.325424 #avg: 3.15603; avg_err: 0.115225; sd: 11.1881; counts: 9429
iclh 0.359372 0.360558 2.51807 0.302569 #avg: 3.11189; avg_err: 0.113681; sd: 11.0381; counts: 9429
iclh 0.364435 0.334237 2.43718 0.282422 #avg: 3.04668; avg_err: 0.114442; sd: 11.112; counts: 9429
iclh 0.369497 0.310384 2.41319 0.263712 #avg: 2.95276; avg_err: 0.11105; sd: 10.7828; counts: 9429
iclh 0.37456 0.281518 2.20556 0.239893 #avg: 2.81097; avg_err: 0.110148; sd: 10.6951; counts: 9429
iclh 0.379622 0.261405 2.09064 0.224401 #avg: 2.62926; avg_err: 0.104278; sd: 10.1252; counts: 9429
iclh 0.384685 0.238815 1.97873 0.206129 #avg: 2.51231; avg_err: 0.0926859; sd: 8.9996; counts: 9429
