#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.95 - 3.11667
#HM    Stats: 1.277940e+14 (median) + 1.848500e+13  / - 1.866200e+13
#SM    Stats: 3.454710e+11 (median) + 1.184230e+11  / - 5.006983e+09
#ObsSM Stats: 3.448720e+11 (median) + 2.420840e+11  / - 9.296000e+10
#VMP   Stats: 9.854700e+02 (median) + 3.236005e+01  / - 8.632996e+01
#ICL   Stats: 9.306270e+10 (median) + 5.908230e+10  / - 7.044899e+09
#SSFR  Stats: 1.899853e-11 (median) + 8.019954e-12  / - 6.467049e-15
iclh 0.263185 83.588 30.039 48.846 #avg: 77.319; avg_err: 22.9869; sd: 32.5083; counts: 3
iclh 0.268248 63.1991 81.1959 24.4246 #avg: 82.1229; avg_err: 31.9244; sd: 45.1479; counts: 3
iclh 0.27331 82.8055 94.5165 53.5525 #avg: 96.4602; avg_err: 43.2857; sd: 61.2152; counts: 3
iclh 0.278373 66.4845 80.2465 43.5048 #avg: 78.7317; avg_err: 36.245; sd: 51.2581; counts: 3
iclh 0.283435 46.9522 114.094 36.1316 #avg: 72.9396; avg_err: 45.2711; sd: 64.0231; counts: 3
iclh 0.288498 73.8242 44.4948 59.1042 #avg: 68.9544; avg_err: 30.0054; sd: 42.4341; counts: 3
iclh 0.29356 56.1272 94.9028 39.3167 #avg: 74.6559; avg_err: 39.838; sd: 56.3395; counts: 3
iclh 0.298623 39.4927 31.3653 13.9438 #avg: 45.2999; avg_err: 13.398; sd: 18.9477; counts: 3
iclh 0.303685 39.8224 31.2508 7.1176 #avg: 47.8668; avg_err: 11.7837; sd: 16.6647; counts: 3
iclh 0.308748 29.3378 7.0777 6.863 #avg: 29.4094; avg_err: 4.02449; sd: 5.69149; counts: 3
iclh 0.31381 29.6893 3.655 10.4124 #avg: 27.4368; avg_err: 4.21419; sd: 5.95976; counts: 3
iclh 0.318873 29.2104 6.12 13.4671 #avg: 26.7614; avg_err: 5.78538; sd: 8.18177; counts: 3
iclh 0.323935 24.0265 5.73 10.4406 #avg: 22.4563; avg_err: 4.73361; sd: 6.69434; counts: 3
iclh 0.328997 28.0021 28.2966 15.037 #avg: 32.422; avg_err: 12.703; sd: 17.9648; counts: 3
iclh 0.33406 12.9461 42.0303 0.6554 #avg: 26.7377; avg_err: 14.1206; sd: 19.9695; counts: 3
iclh 0.339122 10.5475 11.6543 2.75217 #avg: 13.5149; avg_err: 4.41553; sd: 6.2445; counts: 3
iclh 0.344185 8.97277 36.9445 4.71131 #avg: 19.7172; avg_err: 13.1705; sd: 18.6259; counts: 3
iclh 0.349247 12.2308 32.5757 7.55452 #avg: 20.5712; avg_err: 12.3123; sd: 17.4123; counts: 3
iclh 0.35431 12.5164 37.6966 5.78666 #avg: 23.153; avg_err: 13.6327; sd: 19.2796; counts: 3
iclh 0.359372 13.5565 30.9898 6.66986 #avg: 21.6631; avg_err: 11.6025; sd: 16.4083; counts: 3
iclh 0.364435 17.1842 2.4441 10.2437 #avg: 14.5843; avg_err: 3.8865; sd: 5.49634; counts: 3
iclh 0.369497 6.90504 11.2808 2.2275 #avg: 9.92279; avg_err: 4.18124; sd: 5.91317; counts: 3
iclh 0.37456 6.1288 28.8519 0.74284 #avg: 15.4985; avg_err: 9.74347; sd: 13.7793; counts: 3
iclh 0.379622 5.60624 1.53759 0.91988 #avg: 5.81214; avg_err: 0.716842; sd: 1.01377; counts: 3
iclh 0.384685 5.42213 9.11457 0.18181 #avg: 8.39972; avg_err: 3.06894; sd: 4.34014; counts: 3
iclh 0.389747 7.62154 18.3182 2.88207 #avg: 12.7669; avg_err: 6.63874; sd: 9.38859; counts: 3
iclh 0.39481 9.74768 2.77492 6.78695 #avg: 8.41034; avg_err: 2.84011; sd: 4.01652; counts: 3
iclh 0.399872 10.6218 15.3996 1.26024 #avg: 15.3349; avg_err: 5.35561; sd: 7.57398; counts: 3
iclh 0.404935 18.1251 1.8953 9.65205 #avg: 15.5395; avg_err: 3.57534; sd: 5.0563; counts: 3
iclh 0.409997 16.3777 5.1745 8.0785 #avg: 15.4097; avg_err: 3.85631; sd: 5.45364; counts: 3
iclh 0.41506 11.7631 8.6081 1.1241 #avg: 14.2578; avg_err: 3.07389; sd: 4.34714; counts: 3
iclh 0.420122 13.4364 12.718 5.53017 #avg: 15.8323; avg_err: 5.40229; sd: 7.64; counts: 3
iclh 0.425185 9.21122 12.3829 1.03381 #avg: 12.9942; avg_err: 4.31027; sd: 6.09565; counts: 3
